frame_id,object_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,feet_x,feet_y,team_id,has_possession,ball_x,ball_y,ball_interpolated,vx_px,vy_px,speed_px_f,speed_km_h
162,11,2,0.5714,564.9,130.1,583.7,158.8,574.3,158.8,0,0,,,,-0.1,0.9,0.906,8.15
163,5,2,0.8493,855.4,167.5,884.3,197.1,869.9,197.1,0,0,,,,0.0,0.2,0.2,1.8
163,6,2,0.8192,623.0,130.5,648.9,160.1,635.9,160.1,0,0,,,,-0.3,0.6,0.671,6.04
163,7,2,0.7652,381.9,150.9,407.7,181.6,394.8,181.6,0,0,,,,0.4,0.8,0.894,8.05
163,10,2,0.4698,783.5,147.7,803.6,178.3,793.6,178.3,0,0,,,,-0.5,0.7,0.86,7.74
163,11,2,0.3859,564.6,130.6,583.6,159.6,574.1,159.6,0,0,,,,-0.2,0.8,0.825,7.42
164,7,2,0.8626,382.6,153.2,409.0,182.9,395.8,182.9,0,0,,,,1.0,1.3,1.64,14.76
164,6,2,0.8537,623.1,132.4,648.7,161.0,635.9,161.0,0,0,,,,0.0,0.9,0.9,8.1
164,5,2,0.7449,854.1,167.8,881.5,199.3,867.8,199.3,0,0,,,,-2.1,2.2,3.041,27.37
164,11,2,0.5632,564.5,132.9,584.1,160.9,574.3,160.9,0,0,,,,0.2,1.3,1.315,11.84
164,10,2,0.4875,782.8,149.1,801.9,180.0,792.3,180.0,0,0,,,,-1.3,1.7,2.14,19.26
165,7,2,0.8806,383.4,154.3,409.7,183.9,396.6,183.9,0,0,,,,0.8,1.0,1.281,11.53
165,6,2,0.8607,623.4,132.9,648.4,161.3,635.9,161.3,0,0,,,,0.0,0.3,0.3,2.7
165,11,2,0.7536,564.5,133.3,584.3,161.8,574.4,161.8,0,0,,,,0.1,0.9,0.906,8.15
165,5,2,0.7109,852.7,168.3,881.4,199.2,867.1,199.2,0,0,,,,-0.7,-0.1,0.707,6.36
165,10,2,0.4702,782.5,149.3,801.3,179.8,791.9,179.8,0,0,,,,-0.4,-0.2,0.447,4.02
166,7,2,0.8846,383.5,154.6,409.9,184.4,396.7,184.4,0,0,,,,0.1,0.5,0.51,4.59
166,6,2,0.8552,622.8,132.8,647.1,161.0,635.0,161.0,0,0,,,,-0.9,-0.3,0.949,8.54
166,5,2,0.8035,851.7,168.6,880.8,199.3,866.3,199.3,0,0,,,,-0.8,0.1,0.806,7.26
